               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  55,            0.023597,           0.0055731,            0.015594,             0.77401,             0.79708,             0.81662,             0.52815,            0.020714,           0.0046605,             0.01567,           0.0086452,           0.0086452,           0.0086452
                  56,             0.02379,           0.0055763,            0.015281,              0.7732,             0.80118,             0.81736,              0.5277,            0.020615,           0.0046605,             0.01568,           0.0085978,           0.0085978,           0.0085978
                  57,            0.023542,           0.0055678,            0.014975,             0.78339,             0.79199,             0.81765,             0.52933,            0.020572,           0.0046449,             0.01569,           0.0085497,           0.0085497,           0.0085497
                  58,            0.023744,           0.0056123,            0.015035,             0.78915,             0.78724,              0.8175,             0.53011,            0.020634,           0.0046419,              0.0157,            0.008501,            0.008501,            0.008501
                  59,            0.023438,            0.005561,            0.014645,             0.78244,             0.79285,             0.81796,             0.52993,            0.020556,           0.0046453,            0.015718,           0.0084516,           0.0084516,           0.0084516
                  60,            0.023169,           0.0055218,             0.01429,             0.78227,             0.79404,             0.81839,             0.52991,            0.020544,           0.0046365,            0.015724,           0.0084017,           0.0084017,           0.0084017
                  61,            0.023174,           0.0055277,            0.014353,             0.78202,             0.79321,             0.81804,             0.53067,            0.020519,           0.0046378,            0.015745,           0.0083511,           0.0083511,           0.0083511
                  62,            0.023341,           0.0055549,            0.014313,             0.78402,             0.79011,             0.81802,             0.53141,            0.020525,           0.0046316,            0.015753,              0.0083,              0.0083,              0.0083
                  63,            0.023446,           0.0055665,            0.014218,             0.78342,             0.79034,              0.8178,             0.53194,            0.020503,           0.0046272,            0.015779,           0.0082483,           0.0082483,           0.0082483
                  64,             0.02329,           0.0055417,            0.014467,             0.78152,             0.78907,             0.81723,             0.53244,            0.020496,           0.0046285,            0.015819,           0.0081961,           0.0081961,           0.0081961
                  65,            0.023158,           0.0055041,            0.013789,             0.77314,             0.79888,             0.81804,             0.53312,            0.020473,           0.0046314,            0.015809,           0.0081433,           0.0081433,           0.0081433
                  66,            0.023104,           0.0054913,            0.013537,             0.76823,             0.80138,              0.8182,             0.53433,            0.020472,           0.0046306,            0.015814,             0.00809,             0.00809,             0.00809
                  67,            0.023093,           0.0054875,            0.013743,             0.75755,             0.81363,             0.81828,             0.53431,            0.020435,           0.0046263,            0.015803,           0.0080362,           0.0080362,           0.0080362
                  68,            0.023157,           0.0055231,            0.013489,             0.76111,             0.81101,             0.81804,             0.53537,            0.020414,           0.0046263,            0.015778,           0.0079818,           0.0079818,           0.0079818
                  69,            0.022896,           0.0054583,            0.013169,             0.76268,             0.81015,             0.81825,             0.53562,             0.02038,           0.0046234,             0.01577,            0.007927,            0.007927,            0.007927
                  70,            0.022753,           0.0054892,             0.01286,             0.76125,              0.8122,             0.81861,             0.53661,            0.020355,           0.0046185,            0.015775,           0.0078717,           0.0078717,           0.0078717
                  71,            0.022684,           0.0054445,            0.013072,             0.75709,             0.81664,             0.81924,             0.53753,            0.020354,           0.0046173,            0.015785,            0.007816,            0.007816,            0.007816
                  72,            0.022707,           0.0054301,            0.012853,             0.76396,             0.80717,             0.81845,             0.53775,            0.020326,           0.0046178,            0.015775,           0.0077598,           0.0077598,           0.0077598
                  73,             0.02282,           0.0054606,            0.012934,             0.76301,             0.80922,             0.81864,             0.53791,            0.020395,           0.0046125,            0.015787,           0.0077031,           0.0077031,           0.0077031
                  74,             0.02279,           0.0054678,            0.012656,             0.75877,             0.81574,              0.8183,             0.53854,             0.02033,           0.0046148,            0.015794,           0.0076461,           0.0076461,           0.0076461
                  75,            0.022665,           0.0054319,            0.012217,             0.75841,             0.81555,             0.81837,             0.53922,            0.020308,           0.0046134,            0.015799,           0.0075886,           0.0075886,           0.0075886
                  76,            0.022593,           0.0054161,            0.011978,             0.75926,             0.81536,             0.81903,             0.53993,            0.020299,           0.0046133,            0.015813,           0.0075307,           0.0075307,           0.0075307
                  77,            0.022529,           0.0054209,            0.011602,             0.75836,             0.81777,             0.81906,             0.54042,            0.020308,           0.0046079,            0.015813,           0.0074725,           0.0074725,           0.0074725
                  78,            0.022543,           0.0054137,            0.011551,             0.75551,             0.81928,             0.81944,             0.54026,            0.020254,           0.0046102,            0.015826,           0.0074139,           0.0074139,           0.0074139
                  79,            0.022214,           0.0053967,            0.011732,             0.76219,             0.81019,             0.81913,             0.54124,            0.020243,           0.0046051,             0.01584,            0.007355,            0.007355,            0.007355
                  80,            0.022109,           0.0053789,            0.011254,             0.76269,             0.81015,             0.81957,             0.54146,            0.020204,           0.0046057,            0.015844,           0.0072957,           0.0072957,           0.0072957
                  81,            0.022151,           0.0053898,            0.011563,             0.76242,             0.81087,              0.8193,             0.54199,            0.020198,           0.0045991,            0.015858,           0.0072361,           0.0072361,           0.0072361
                  82,            0.022267,           0.0054016,             0.01119,             0.76331,             0.80932,             0.81925,             0.54276,            0.020189,           0.0045974,            0.015888,           0.0071762,           0.0071762,           0.0071762
                  83,            0.022202,           0.0053984,            0.011195,             0.76347,             0.81161,             0.81996,              0.5427,            0.020158,            0.004596,            0.015903,            0.007116,            0.007116,            0.007116
